PWSID,System Name,County,Regulating Agency,Water Quality Risk Level_Display,Accessability Risk Level_Display,Affordability Risk Level_Display,TMF Capacity Risk Level_Display,POPULATION ,SAFER STATUS,Distinct count of PWSID,Funding Since 2017
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,Low Risk,Low Risk,No Risk,50,Not At-Risk,1,$0 
CA0103041,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,No Risk,No Risk,Low Risk,459,Not At-Risk,1,$0 
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,Medium Risk,No Risk,No Risk,524,Not At-Risk,1,"$3,000,000 "
CA0105009,MOUNTAIN HOUSE SCHOOL,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,High Risk,No Risk,No Risk,50,At-Risk,1,$0 
CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"351,000",Not Assessed,1,$0 
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,High Risk,No Risk,No Risk,Low Risk,"59,000",Potentially At-Risk,1,$0 
CA0110005,EAST BAY MUD,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"1,405,000",Not Assessed,1,$0 
CA0110006,CITY OF HAYWARD,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"151,600",Not Assessed,1,$0 
CA0110008,CITY OF PLEASANTON,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Medium Risk,No Risk,Low Risk,No Risk,"79,201",Not At-Risk,1,$0 
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,No Risk,No Risk,Low Risk,"86,895",Not At-Risk,1,$0 
CA0110010,ZONE 7 WATER AGENCY,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,40,Not Assessed,1,$0 
CA0110011,CITY OF LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,No Risk,Low Risk,Low Risk,"30,000",Not At-Risk,1,$0 
CA0110012,TOWN OF SUNOL - SFPUC,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,Medium Risk,No Risk,Low Risk,352,Not At-Risk,1,$0 
CA0110016,ALAMEDA POINT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,Medium Risk,No Risk,Low Risk,"1,500",Not At-Risk,1,$0 
CA0110018,SFPUC-PLEASANTON WELLS,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1,Not Assessed,1,$0 
CA0202501,DIAMOND VALLEY SCHOOL,ALPINE,LPA32 - ALPINE COUNTY,No Risk,High Risk,No Risk,No Risk,100,Not At-Risk,1,$0 
CA0202503,WOODFORDS MUTUAL WATER COMPANY,ALPINE,LPA32 - ALPINE COUNTY,No Risk,Medium Risk,No Risk,Low Risk,50,Not At-Risk,1,$0 
CA0202504,MARKLEEVILLE WATER CO.,ALPINE,LPA32 - ALPINE COUNTY,No Risk,Low Risk,Low Risk,No Risk,25,Not At-Risk,1,"$435,300 "
CA0202522,SIERRA PINES MOBILE HOME PARK,ALPINE,LPA32 - ALPINE COUNTY,No Risk,High Risk,No Risk,Low Risk,70,Not At-Risk,1,$0 
CA0202599,EARLY LEARNING CENTER,ALPINE,LPA32 - ALPINE COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,35,Not Assessed,1,$0 
CA0210001,LAKE ALPINE WATER COMPANY,ALPINE,DISTRICT 10 - STOCKTON,Low Risk,High Risk,High Risk,Low Risk,625,Failing,1,$0 
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,ALPINE,DISTRICT 09 - SACRAMENTO,Low Risk,Low Risk,No Risk,Low Risk,"7,851",Not At-Risk,1,$0 
