STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geoid,ssp12020,ssp22020,ssp32020,ssp42020,ssp52020,ssp12025,ssp22025,ssp32025,ssp42025,ssp52025,ssp12030,ssp22030,ssp32030,ssp42030,ssp52030,ssp12035,ssp22035,ssp32035,ssp42035,ssp52035,ssp12040,ssp22040,ssp32040,ssp42040,ssp52040,ssp1difference,ssp2difference,ssp3difference,ssp4difference,ssp5difference,averagesspdifference,ssp1diffpercent,ssp2diffpercent,ssp3diffpercent,ssp4diffpercent,ssp5diffpercent,averagepercent
06,075,00277302,06075,San Francisco,San Francisco County,06,H6,G4020,488,41860,41884,C,121399963.00000000000,479190317.00000000000,+37.7272391,-123.0322294,06075,9.54E+05,9.51E+05,9.31E+05,9.46E+05,9.72E+05,1.04E+06,1.03E+06,9.88E+05,1.02E+06,1.07E+06,1.12E+06,1.11E+06,1.04E+06,1.09E+06,1.18E+06,1.20E+06,1.19E+06,1.09E+06,1.16E+06,1.29E+06,1.28E+06,1.27E+06,1.13E+06,1.23E+06,1.41E+06,3.30E+05,3.19E+05,2.01E+05,2.83E+05,4.39E+05,3.14E+05,0.34589507,0.334828091,0.215745807,0.298882513,0.451849947,0.329440286
06,001,01675839,06001,Alameda,Alameda County,06,H1,G4020,488,41860,36084,A,1914046110.00000000000,213184643.00000000000,+37.6480811,-121.9133039,06001,1.79E+06,1.79E+06,1.75E+06,1.78E+06,1.83E+06,1.94E+06,1.93E+06,1.85E+06,1.91E+06,2.01E+06,2.08E+06,2.07E+06,1.94E+06,2.03E+06,2.20E+06,2.23E+06,2.21E+06,2.01E+06,2.15E+06,2.40E+06,2.37E+06,2.34E+06,2.08E+06,2.26E+06,2.60E+06,5.79E+05,5.52E+05,3.29E+05,4.85E+05,7.79E+05,5.45E+05,0.323071902,0.3087161,0.188173873,0.273165668,0.426925985,0.304010706
06,113,00277321,06113,Yolo,Yolo County,06,H1,G4020,472,40900,,A,2628032408.00000000000,22969178.00000000000,+38.6792682,-121.9031776,06113,2.27E+05,2.27E+05,2.22E+05,2.25E+05,2.32E+05,2.43E+05,2.42E+05,2.32E+05,2.39E+05,2.52E+05,2.59E+05,2.58E+05,2.40E+05,2.52E+05,2.75E+05,2.74E+05,2.72E+05,2.47E+05,2.63E+05,2.99E+05,2.91E+05,2.88E+05,2.52E+05,2.75E+05,3.25E+05,6.35E+04,6.12E+04,3.01E+04,4.96E+04,9.34E+04,5.96E+04,0.279347258,0.270045349,0.135576901,0.220085466,0.403291848,0.261669364
06,013,01675903,06013,Contra Costa,Contra Costa County,06,H1,G4020,488,41860,36084,A,1854268836.00000000000,227485306.00000000000,+37.9194790,-121.9515431,06013,1.21E+06,1.21E+06,1.18E+06,1.20E+06,1.23E+06,1.29E+06,1.29E+06,1.23E+06,1.27E+06,1.34E+06,1.38E+06,1.36E+06,1.28E+06,1.34E+06,1.45E+06,1.46E+06,1.44E+06,1.31E+06,1.40E+06,1.57E+06,1.53E+06,1.51E+06,1.33E+06,1.46E+06,1.68E+06,3.20E+05,2.98E+05,1.51E+05,2.54E+05,4.48E+05,2.94E+05,0.264142756,0.246253266,0.127508894,0.211654665,0.362819625,0.242475841
06,085,00277307,06085,Santa Clara,Santa Clara County,06,H1,G4020,488,41940,,A,3341343470.00000000000,36174996.00000000000,+37.2207774,-121.6906224,06085,2.06E+06,2.05E+06,2.01E+06,2.04E+06,2.10E+06,2.19E+06,2.18E+06,2.09E+06,2.15E+06,2.27E+06,2.32E+06,2.30E+06,2.15E+06,2.26E+06,2.45E+06,2.45E+06,2.42E+06,2.21E+06,2.36E+06,2.63E+06,2.57E+06,2.53E+06,2.25E+06,2.45E+06,2.81E+06,5.08E+05,4.74E+05,2.39E+05,4.07E+05,7.16E+05,4.69E+05,0.246761444,0.230999108,0.118729442,0.199472597,0.341162291,0.227424977
06,081,00277305,06081,San Mateo,San Mateo County,06,H1,G4020,488,41860,41884,A,1161371825.00000000000,757704380.00000000000,+37.4146639,-122.3715417,06081,8.19E+05,8.17E+05,8.00E+05,8.12E+05,8.34E+05,8.68E+05,8.64E+05,8.29E+05,8.54E+05,9.00E+05,9.18E+05,9.11E+05,8.52E+05,8.94E+05,9.69E+05,9.66E+05,9.55E+05,8.73E+05,9.32E+05,1.04E+06,1.01E+06,9.97E+05,8.88E+05,9.66E+05,1.11E+06,1.94E+05,1.81E+05,8.81E+04,1.55E+05,2.76E+05,1.79E+05,0.2369918,0.221372754,0.110164671,0.190421954,0.330393774,0.217868991
06,065,00277297,06065,Riverside,Riverside County,06,H1,G4020,348,40140,,A,18664696661.00000000000,251073334.00000000000,+33.7298275,-116.0022389,06065,2.52E+06,2.52E+06,2.46E+06,2.50E+06,2.57E+06,2.68E+06,2.66E+06,2.55E+06,2.63E+06,2.78E+06,2.82E+06,2.80E+06,2.61E+06,2.74E+06,2.99E+06,2.96E+06,2.93E+06,2.66E+06,2.85E+06,3.20E+06,3.09E+06,3.05E+06,2.70E+06,2.94E+06,3.41E+06,5.69E+05,5.34E+05,2.33E+05,4.37E+05,8.42E+05,5.23E+05,0.225461166,0.212036222,0.094525481,0.174756618,0.327094063,0.20677471
06,061,00277295,06061,Placer,Placer County,06,H1,G4020,472,40900,,A,3644136017.00000000000,247205361.00000000000,+39.0620324,-120.7227181,06061,4.01E+05,4.00E+05,3.92E+05,3.97E+05,4.08E+05,4.26E+05,4.23E+05,4.06E+05,4.18E+05,4.40E+05,4.50E+05,4.44E+05,4.16E+05,4.37E+05,4.73E+05,4.72E+05,4.63E+05,4.23E+05,4.52E+05,5.05E+05,4.92E+05,4.80E+05,4.26E+05,4.66E+05,5.36E+05,9.12E+04,8.06E+04,3.43E+04,6.83E+04,1.28E+05,8.04E+04,0.227283046,0.201574329,0.087525896,0.171751376,0.313638321,0.200354594
06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895120648.00000000000,826347909.00000000000,+33.0236041,-116.7761174,06073,3.50E+06,3.50E+06,3.42E+06,3.47E+06,3.57E+06,3.69E+06,3.68E+06,3.53E+06,3.63E+06,3.83E+06,3.88E+06,3.86E+06,3.61E+06,3.78E+06,4.11E+06,4.06E+06,4.02E+06,3.66E+06,3.91E+06,4.38E+06,4.23E+06,4.17E+06,3.70E+06,4.02E+06,4.66E+06,7.30E+05,6.76E+05,2.74E+05,5.51E+05,1.09E+06,6.64E+05,0.208290019,0.193433392,0.080162377,0.158735867,0.304841262,0.189092584
06,069,00277299,06069,San Benito,San Benito County,06,H1,G4020,488,41940,,A,3596742302.00000000000,4555039.00000000000,+36.6107024,-121.0852960,06069,6.21E+04,6.20E+04,6.07E+04,6.16E+04,6.34E+04,6.54E+04,6.51E+04,6.23E+04,6.43E+04,6.80E+04,6.84E+04,6.80E+04,6.33E+04,6.65E+04,7.27E+04,7.12E+04,7.06E+04,6.40E+04,6.85E+04,7.72E+04,7.38E+04,7.29E+04,6.43E+04,7.01E+04,8.17E+04,1.17E+04,1.09E+04,3.61E+03,8.51E+03,1.83E+04,1.06E+04,0.187782627,0.175187033,0.059463283,0.138244452,0.288654198,0.169866319
06,083,00277306,06083,Santa Barbara,Santa Barbara County,06,H1,G4020,,42060,,A,7083838022.00000000000,2729829365.00000000000,+34.5373784,-120.0384850,06083,4.66E+05,4.64E+05,4.55E+05,4.61E+05,4.74E+05,4.87E+05,4.85E+05,4.65E+05,4.79E+05,5.05E+05,5.09E+05,5.05E+05,4.72E+05,4.94E+05,5.39E+05,5.30E+05,5.25E+05,4.76E+05,5.08E+05,5.75E+05,5.52E+05,5.46E+05,4.79E+05,5.22E+05,6.15E+05,8.64E+04,8.15E+04,2.42E+04,6.07E+04,1.41E+05,7.87E+04,0.185513899,0.175629556,0.053263567,0.131712482,0.296682218,0.168560344
06,079,00277304,06079,San Luis Obispo,San Luis Obispo County,06,H1,G4020,,42020,,A,8543248461.00000000000,820974646.00000000000,+35.3852268,-120.4475404,06079,2.94E+05,2.93E+05,2.88E+05,2.92E+05,2.99E+05,3.09E+05,3.07E+05,2.95E+05,3.04E+05,3.19E+05,3.24E+05,3.20E+05,3.00E+05,3.14E+05,3.41E+05,3.37E+05,3.32E+05,3.02E+05,3.23E+05,3.63E+05,3.50E+05,3.44E+05,3.02E+05,3.30E+05,3.87E+05,5.59E+04,5.08E+04,1.49E+04,3.87E+04,8.77E+04,4.96E+04,0.189838231,0.173119262,0.051871912,0.132689704,0.293290431,0.168161908
