PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA2800625,ADVENTIST HEALTH - ST. HELENA HOSPITAL,Region 9,California,Community water system,860,,Napa,28,5,7
CA2310009,BROOKTRAILS TOWNSHIP CSD,Region 9,California,Community water system,"3,800",,Mendocino,6,3,13
CA4910020,SONOMA COUNTY WATER AGENCY,Region 9,California,Community water system,0,,Sonoma,29,2,19
CA5400602,EAGLE'S NEST RESORT,Region 9,California,Community water system,279,,Tulare,2,33,11
CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,Region 9,California,Community water system,120,,Kern,6,75,9
CA1502247,DESERT BREEZE MOBILE HOME ESTATES,Region 9,California,Community water system,82,,Kern,3,27,6
CA4300578,ANGELO LANE WATER COMPANY,Region 9,California,Community water system,52,,Santa Clara,2,13,6
CA1000405,PIEDRA PARK ASSOCIATION,Region 9,California,Community water system,25,,Fresno,3,51,14
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"1,026",,Tulare,9,62,9
CA4210011,SANTA MARIA WATER DEPARTMENT,Region 9,California,Community water system,"107,407",,Santa Barbara,29,5,20
CA2701687,VALLEY OAKS MHP WS,Region 9,California,Community water system,120,,Monterey,2,25,10
CA2701935,MOUNT TORO RANCHOS MWA,Region 9,California,Community water system,45,,Monterey,6,9,12
CA3500581,RANCHO SAN JOAQUIN MWC,Region 9,California,Community water system,96,,San Benito,4,15,6
CA3100014,BAKER RANCH WATER CORP,Region 9,California,Community water system,150,,Placer,4,7,16
CA5400660,LAKE SUCCESS MOBILE LODGE,Region 9,California,Community water system,80,,Tulare,4,52,7
CA0610002,CITY OF COLUSA,Region 9,California,Community water system,"6,175",COLUSA,Colusa,12,2,35
CA4500063,CEDAR CREEK MOBILEHOME PARK,Region 9,California,Community water system,40,,Shasta,4,28,8
CA3710014,"OCEANSIDE, CITY OF",Region 9,California,Community water system,"178,021",OCEANSIDE,San Diego,40,3,25
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,Region 9,California,Community water system,160,,San Benito,3,29,8
CA4410013,SCOTTS VALLEY WATER DISTRICT,Region 9,California,Community water system,"10,709",,Santa Cruz,25,13,25
CA2100519,ESTERO MUTUAL,Region 9,California,Community water system,186,,Marin,8,53,8
CA1700596,BLUE LAKES VILLAGE,Region 9,California,Community water system,65,,Lake,5,27,6
CA1500478,"VALLEY ESTATES POA, INC.",Region 9,California,Community water system,386,,Kern,3,21,9
CA1503669,NORTH KRANENBURG WS,Region 9,California,Community water system,28,,Kern,2,1,3
CA1502600,WEGIS MUTUAL WATER COMPANY,Region 9,California,Community water system,64,,Kern,2,19,5
