PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS
CA2800625,Ground water,227,-122.47478329643288,38.54221413792983,950,860,-0.09473684210526316,0.0,0.0,0.0,0.0,Not At-Risk
CA2310009,Surface water,1554,-123.41596895854757,39.46107242052699,3800,3800,0.0,0.0,0.0,0.0,0.0,At-Risk
CA5400602,Ground water,78,-118.951135613802,36.04587823030668,50,279,4.58,0.0,0.0,0.0,1.0,At-Risk
CA1500525,Ground water,71,-118.3384644909844,35.636555731898966,120,120,0.0,20.0,0.0,20.0,0.0,Failing
CA1502247,Ground water,63,-118.154407951045,34.86355015285693,115,82,-0.28695652173913044,13.0,0.0,13.0,0.0,Failing
CA4300578,Ground water,15,-121.50022537455165,37.01883609669911,52,52,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA1000405,Ground water,15,-119.3773136969599,36.819188457624605,24,25,0.041666666666666664,0.0,0.0,0.0,0.0,Potentially At-Risk
CA5410050,Ground water,394,-119.48729590834314,35.88772842158048,1026,1026,0.0,16.0,0.0,16.0,5.0,At-Risk
CA4210011,Purchased water,22634,-120.4408814683584,34.934288496711495,100306,107407,0.0707933722808207,0.0,0.0,0.0,2.0,Not Assessed
CA2701687,Ground water,46,-121.08447367956568,35.94191185734581,120,120,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA2701935,Ground water,19,-121.66854189798492,36.54494883924055,45,45,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3500581,Ground water,30,-121.3626522221196,36.91705765027723,96,96,0.0,0.0,0.0,0.0,3.0,Potentially At-Risk
CA3100014,Ground water,31,-120.76232036554605,39.05371070909423,150,150,0.0,0.0,0.0,0.0,1.0,At-Risk
CA5400660,Ground water,19,-118.89598011316212,36.08395181321191,40,80,1.0,0.0,0.0,0.0,0.0,At-Risk
CA0610002,Ground water,2205,-122.01101432327276,39.20680789572999,5625,6175,0.09777777777777778,0.0,0.0,0.0,0.0,Failing
CA3710014,Purchased water,44372,-117.30837326598552,33.22465239804048,171183,178021,0.03994555534135983,0.0,0.0,0.0,0.0,Not Assessed
CA4410013,Ground water,3863,-122.00622344584326,37.06234897263956,10509,10709,0.01903130649919117,0.0,0.0,0.0,0.0,Not At-Risk
CA2100519,Surface water,145,-122.96464983356164,38.25721736986196,125,186,0.488,3.0,0.0,3.0,0.0,Not At-Risk
CA1700596,Ground water,44,-123.00586908158373,39.16992246899939,65,65,0.0,0.0,0.0,0.0,1.0,At-Risk
CA1500478,Ground water,117,-118.26783625404858,35.652940456199296,302,386,0.2781456953642384,1.0,0.0,1.0,0.0,Not At-Risk
CA1503669,Ground water,10,-119.1954861852232,35.367832953455,33,28,-0.15151515151515152,0.0,0.0,0.0,0.0,Failing
CA1502600,Ground water,23,-119.18719009144108,35.37378516419682,51,64,0.2549019607843137,0.0,0.0,0.0,1.0,Potentially At-Risk
CA0910006,Surface water,621,-120.53486791591855,38.63594844120297,1300,1300,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk
CA1910154,Purchased water,6193,-118.15717081451965,34.110228526802885,26174,26174,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA2701789,Ground water,27,-121.63862096354129,36.7946342148721,108,108,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA2700606,Ground water,31,-121.17703323635592,36.04510913787874,75,75,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA1010007,Surface water,136972,-119.79258715873688,36.77967734021172,524320,541990,0.033700793408605434,0.0,0.0,0.0,1.0,Not Assessed
CA0810003,Purchased water,696,-124.1622393420683,41.7536901728628,1600,1600,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA1500341,Ground water,180,-118.54428205157237,35.731120401737655,60,60,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA4200618,Ground water,48,-120.08807198744604,34.73194587079254,150,300,1.0,0.0,0.0,0.0,0.0,Not At-Risk
CA3610850,Ground water,1912,-117.67355503082308,33.97754359460312,10667,10667,0.0,1.0,0.0,1.0,4.0,At-Risk
CA2701279,Surface water,32,-121.7626487931108,36.22379796965176,129,129,0.0,0.0,1.0,1.0,1.0,At-Risk
CA2700548,Ground water,40,-121.7378790229851,36.7956008654063,120,120,0.0,0.0,0.0,0.0,0.0,At-Risk
CA2700738,Ground water,34,-121.674156771553,36.82915941415593,100,100,0.0,18.0,0.0,18.0,0.0,At-Risk
CA2701956,Ground water,22,-121.64227255522856,36.86641405998196,66,66,0.0,0.0,0.0,0.0,0.0,Not At-Risk
CA2701742,Ground water,50,-121.18273562892657,36.26497213621106,290,150,-0.4827586206896552,0.0,0.0,0.0,0.0,Not At-Risk
CA2701403,Ground water,17,-121.31779024557608,36.4357471962497,65,36,-0.4461538461538462,0.0,0.0,0.0,0.0,Not At-Risk
CA2701036,Ground water,20,-121.25906869815218,36.31539438305728,60,60,0.0,19.0,0.0,19.0,0.0,Failing
CA2701498,Ground water,29,-121.71103692923472,36.81865424500581,75,75,0.0,0.0,0.0,0.0,0.0,At-Risk
CA2701820,Ground water,19,-121.4601043373154,36.51792514347096,60,60,0.0,3.0,0.0,3.0,1.0,Failing
