PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS,Physical_Consolidation_Type,Physical_Cluster_Number,Managerial_Consolidation_Type,Managerial_Cluster_Number
CA2800625,Ground water,227,-122.47478329643288,38.54221413792983,950,860,-0.0947368421052631,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,278,Balanced_Merger,187
CA2310009,Surface water,1554,-123.41596895854757,39.46107242052699,3800,3800,0.0,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,279,No_Consolidation,746
CA5400602,Ground water,78,-118.951135613802,36.04587823030668,50,279,4.58,0.0,0.0,0.0,1.0,At-Risk,No_Consolidation,280,Direct_Acquisition,220
CA1500525,Ground water,71,-118.3384644909844,35.636555731898966,120,120,0.0,20.0,0.0,20.0,0.0,Failing,Balanced_Merger,252,Balanced_Merger,477
CA1502247,Ground water,63,-118.154407951045,34.86355015285693,115,82,-0.2869565217391304,13.0,0.0,13.0,0.0,Failing,Balanced_Merger,29,Direct_Acquisition,189
CA4300578,Ground water,15,-121.50022537455165,37.01883609669911,52,52,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,281,No_Consolidation,747
CA1000405,Ground water,15,-119.3773136969599,36.819188457624605,24,25,0.0416666666666666,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,282,No_Consolidation,748
CA5410050,Ground water,394,-119.48729590834314,35.88772842158048,1026,1026,0.0,16.0,0.0,16.0,5.0,At-Risk,No_Consolidation,283,No_Consolidation,749
CA4210011,Purchased water,22634,-120.4408814683584,34.934288496711495,100306,107407,0.0707933722808207,0.0,0.0,0.0,2.0,Not Assessed,No_Consolidation,284,Direct_Acquisition,562
CA2701687,Ground water,46,-121.08447367956568,35.94191185734581,120,120,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,285,Balanced_Merger,124
CA2701935,Ground water,19,-121.66854189798492,36.54494883924055,45,45,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,253,Balanced_Merger,705
CA3500581,Ground water,30,-121.3626522221196,36.91705765027723,96,96,0.0,0.0,0.0,0.0,3.0,Potentially At-Risk,Balanced_Merger,254,Balanced_Merger,142
CA3100014,Ground water,31,-120.76232036554605,39.05371070909423,150,150,0.0,0.0,0.0,0.0,1.0,At-Risk,No_Consolidation,286,No_Consolidation,750
CA5400660,Ground water,19,-118.89598011316212,36.08395181321191,40,80,1.0,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,287,Balanced_Merger,654
CA0610002,Ground water,2205,-122.01101432327276,39.20680789572999,5625,6175,0.0977777777777777,0.0,0.0,0.0,0.0,Failing,Direct_Acquisition,95,Direct_Acquisition,312
CA3710014,Purchased water,44372,-117.30837326598552,33.22465239804048,171183,178021,0.0399455553413598,0.0,0.0,0.0,0.0,Not Assessed,No_Consolidation,288,Balanced_Merger,147
CA4410013,Ground water,3863,-122.00622344584326,37.06234897263956,10509,10709,0.0190313064991911,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,289,Balanced_Merger,281
CA2100519,Surface water,145,-122.96464983356164,38.25721736986196,125,186,0.488,3.0,0.0,3.0,0.0,Not At-Risk,Balanced_Merger,193,Balanced_Merger,356
CA1700596,Ground water,44,-123.00586908158373,39.16992246899939,65,65,0.0,0.0,0.0,0.0,1.0,At-Risk,Balanced_Merger,255,Balanced_Merger,706
CA1500478,Ground water,117,-118.26783625404858,35.652940456199296,302,386,0.2781456953642384,1.0,0.0,1.0,0.0,Not At-Risk,No_Consolidation,290,Balanced_Merger,477
CA1503669,Ground water,10,-119.1954861852232,35.367832953455,33,28,-0.1515151515151515,0.0,0.0,0.0,0.0,Failing,Balanced_Merger,105,Direct_Acquisition,318
CA1502600,Ground water,23,-119.18719009144108,35.37378516419682,51,64,0.2549019607843137,0.0,0.0,0.0,1.0,Potentially At-Risk,Balanced_Merger,228,Joint_Merger,92
CA0910006,Surface water,621,-120.53486791591855,38.63594844120297,1300,1300,0.0,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,291,No_Consolidation,751
CA1910154,Purchased water,6193,-118.15717081451965,34.110228526802885,26174,26174,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,292,Balanced_Merger,259
CA2701789,Ground water,27,-121.63862096354129,36.7946342148721,108,108,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,250,Joint_Merger,91
CA2700606,Ground water,31,-121.17703323635592,36.04510913787874,75,75,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,293,Direct_Acquisition,693
CA1010007,Surface water,136972,-119.79258715873688,36.77967734021172,524320,541990,0.0337007934086054,0.0,0.0,0.0,1.0,Not Assessed,No_Consolidation,294,Direct_Acquisition,277
CA0810003,Purchased water,696,-124.1622393420683,41.7536901728628,1600,1600,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,295,Balanced_Merger,633
CA1500341,Ground water,180,-118.54428205157237,35.731120401737655,60,60,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,141,Joint_Merger,88
CA4200618,Ground water,48,-120.08807198744604,34.73194587079254,150,300,1.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,296,No_Consolidation,752
CA3610850,Ground water,1912,-117.67355503082308,33.97754359460312,10667,10667,0.0,1.0,0.0,1.0,4.0,At-Risk,No_Consolidation,297,Balanced_Merger,636
CA2701279,Surface water,32,-121.7626487931108,36.22379796965176,129,129,0.0,0.0,1.0,1.0,1.0,At-Risk,Balanced_Merger,223,Balanced_Merger,381
CA2700548,Ground water,40,-121.7378790229851,36.7956008654063,120,120,0.0,0.0,0.0,0.0,0.0,At-Risk,Balanced_Merger,251,Joint_Merger,86
CA2700738,Ground water,34,-121.674156771553,36.82915941415593,100,100,0.0,18.0,0.0,18.0,0.0,At-Risk,Balanced_Merger,205,Balanced_Merger,118
CA2701956,Ground water,22,-121.64227255522856,36.86641405998196,66,66,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,192,Joint_Merger,85
CA2701742,Ground water,50,-121.18273562892657,36.26497213621106,290,150,-0.4827586206896552,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,298,No_Consolidation,753
CA2701403,Ground water,17,-121.31779024557608,36.4357471962497,65,36,-0.4461538461538462,0.0,0.0,0.0,0.0,Not At-Risk,Direct_Acquisition,195,Direct_Acquisition,579
CA2701036,Ground water,20,-121.25906869815218,36.31539438305728,60,60,0.0,19.0,0.0,19.0,0.0,Failing,Balanced_Merger,102,Direct_Acquisition,337
CA2701498,Ground water,29,-121.71103692923472,36.81865424500581,75,75,0.0,0.0,0.0,0.0,0.0,At-Risk,Balanced_Merger,153,Joint_Merger,101
CA2701820,Ground water,19,-121.4601043373154,36.51792514347096,60,60,0.0,3.0,0.0,3.0,1.0,Failing,No_Consolidation,299,Direct_Acquisition,109
CA1000053,Ground water,156,-119.93099187141692,36.43291625191545,660,660,0.0,9.0,0.0,9.0,0.0,Potentially At-Risk,No_Consolidation,300,Balanced_Merger,643
CA0910019,Surface water,139,-119.94666487280416,38.9583552161015,1000,1554,0.554,0.0,0.0,0.0,0.0,Not At-Risk,Direct_Acquisition,142,Direct_Acquisition,426
CA0707519,Ground water,58,-121.6525774743546,38.01174953587598,49,49,0.0,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,301,Balanced_Merger,311
CA0707597,Ground water,24,-121.62928800034464,38.00619007019319,94,67,-0.2872340425531915,0.0,0.0,0.0,1.0,Potentially At-Risk,Balanced_Merger,116,Joint_Merger,82
