Distance_km,Joint_Merger_Total,Joint_Merger_Health_Violation,Joint_Merger_Monitoring_Violation,Joint_Merger_Decreasing_Population,Joint_Merger_SAFER_Failing,Balanced_Merger_Total,Balanced_Merger_Health_Violation,Balanced_Merger_Monitoring_Violation,Balanced_Merger_Decreasing_Population,Balanced_Merger_SAFER_Failing,Direct_Acquisition_Total,Direct_Acquisition_Health_Violation,Direct_Acquisition_Monitoring_Violation,Direct_Acquisition_Decreasing_Population,Direct_Acquisition_SAFER_Failing,No_Consolidation_Total,No_Consolidation_Health_Violation,No_Consolidation_Monitoring_Violation,No_Consolidation_Decreasing_Population,No_Consolidation_SAFER_Failing,Total_Systems,Total_Consolidation,Total_Health_Violation,Total_Monitoring_Violation,Total_Decreasing_Population,Total_SAFER_Failing
0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2743,400,784,425,309,2747,4,400,786,425,309
1,35,2,2,4,3,332,54,110,48,43,30,5,11,3,2,2350,339,663,370,261,2747,397,400,786,425,309
2,35,2,2,4,3,619,88,201,89,83,108,16,32,11,10,1985,294,551,321,213,2747,762,400,786,425,309
3,35,2,2,4,3,829,122,265,116,112,214,26,60,26,19,1669,250,459,279,175,2747,1078,400,786,425,309
4,35,2,2,4,3,1008,147,308,149,127,339,48,101,42,35,1365,203,375,230,144,2747,1382,400,786,425,309
5,35,2,2,4,3,1154,172,355,173,148,425,56,121,55,39,1133,170,308,193,119,2747,1614,400,786,425,309
6,202,4,17,22,11,1124,184,367,183,143,485,60,143,68,49,936,152,259,152,106,2747,1811,400,786,425,309
7,202,4,17,22,11,1225,203,396,201,159,512,58,147,72,49,808,135,226,130,90,2747,1939,400,786,425,309
8,202,4,17,22,11,1292,216,412,209,164,556,67,162,76,56,697,113,195,118,78,2747,2050,400,786,425,309
9,229,4,17,26,14,1326,224,423,212,168,565,72,168,82,57,627,100,178,105,70,2747,2120,400,786,425,309
10,229,4,17,26,14,1397,231,439,226,173,592,81,177,84,62,529,84,153,89,60,2747,2218,400,786,425,309
11,229,4,17,26,14,1443,240,447,235,177,606,77,182,85,61,469,79,140,79,57,2747,2278,400,786,425,309
12,229,4,17,26,14,1507,244,462,244,184,605,81,182,82,63,406,71,125,73,48,2747,2341,400,786,425,309
13,229,4,17,26,14,1548,249,473,248,193,617,82,184,83,62,353,65,112,68,40,2747,2394,400,786,425,309
14,229,4,17,26,14,1574,256,483,250,199,629,83,185,92,58,315,57,101,57,38,2747,2432,400,786,425,309
15,229,4,17,26,14,1616,264,501,261,204,619,81,178,88,56,283,51,90,50,35,2747,2464,400,786,425,309
16,462,6,53,63,29,1458,261,466,227,192,573,85,180,88,56,254,48,87,47,32,2747,2493,400,786,425,309
17,590,8,71,78,34,1382,254,462,221,187,549,92,173,84,59,226,46,80,42,29,2747,2521,400,786,425,309
18,590,8,71,78,34,1423,262,475,226,191,526,86,166,81,55,208,44,74,40,29,2747,2539,400,786,425,309
19,590,8,71,78,34,1463,264,487,229,192,511,87,162,81,56,183,41,66,37,27,2747,2564,400,786,425,309
20,590,8,71,78,34,1501,272,501,239,198,485,84,151,73,54,171,36,63,35,23,2747,2576,400,786,425,309
21,590,8,71,78,34,1529,279,511,247,204,465,78,144,66,49,163,35,60,34,22,2747,2584,400,786,425,309
22,723,8,86,102,36,1433,275,501,235,200,441,86,149,59,54,150,31,50,29,19,2747,2597,400,786,425,309
23,723,8,86,102,36,1454,277,508,237,200,434,86,145,58,54,136,29,47,28,19,2747,2611,400,786,425,309
24,723,8,86,102,36,1522,297,529,251,212,386,73,127,50,46,116,22,44,22,15,2747,2631,400,786,425,309
25,723,8,86,102,36,1562,311,548,254,218,354,62,112,48,41,108,19,40,21,14,2747,2639,400,786,425,309
26,723,8,86,102,36,1566,311,549,253,218,356,62,114,49,43,102,19,37,21,12,2747,2645,400,786,425,309
27,723,8,86,102,36,1574,316,549,252,219,355,58,116,50,43,95,18,35,21,11,2747,2652,400,786,425,309
28,723,8,86,102,36,1597,322,556,255,221,336,52,109,48,41,91,18,35,20,11,2747,2656,400,786,425,309
29,723,8,86,102,36,1598,321,558,254,221,339,53,107,50,41,87,18,35,19,11,2747,2660,400,786,425,309
30,723,8,86,102,36,1619,321,566,260,224,324,53,101,46,39,81,18,33,17,10,2747,2666,400,786,425,309
31,723,8,86,102,36,1622,321,568,264,223,329,54,100,44,40,73,17,32,15,10,2747,2674,400,786,425,309
32,723,8,86,102,36,1633,323,571,263,226,321,53,98,45,38,70,16,31,15,9,2747,2677,400,786,425,309
33,723,8,86,102,36,1646,326,574,265,228,309,50,96,43,36,69,16,30,15,9,2747,2678,400,786,425,309
34,723,8,86,102,36,1698,331,590,271,229,265,46,82,39,35,61,15,28,13,9,2747,2686,400,786,425,309
35,723,8,86,102,36,1701,331,591,271,229,265,46,82,39,35,58,15,27,13,9,2747,2689,400,786,425,309
36,922,12,120,138,49,1491,325,540,237,217,272,48,98,36,34,62,15,28,14,9,2747,2685,400,786,425,309
37,922,12,120,138,49,1506,326,547,238,217,259,47,92,35,34,60,15,27,14,9,2747,2687,400,786,425,309
38,922,12,120,138,49,1508,327,548,241,216,260,47,92,34,35,57,14,26,12,9,2747,2690,400,786,425,309
39,922,12,120,138,49,1522,332,551,245,219,248,43,89,31,32,55,13,26,11,9,2747,2692,400,786,425,309
40,922,12,120,138,49,1536,334,557,247,220,240,41,85,30,31,49,13,24,10,9,2747,2698,400,786,425,309
41,922,12,120,138,49,1542,335,558,249,220,238,43,88,29,33,45,10,20,9,7,2747,2702,400,786,425,309
42,922,12,120,138,49,1541,336,556,250,222,240,43,90,28,31,44,9,20,9,7,2747,2703,400,786,425,309
43,922,12,120,138,49,1556,339,563,251,225,225,40,83,27,28,44,9,20,9,7,2747,2703,400,786,425,309
44,922,12,120,138,49,1561,339,565,253,225,223,40,82,26,28,41,9,19,8,7,2747,2706,400,786,425,309
45,943,12,126,142,49,1544,342,560,248,225,220,39,82,26,29,40,7,18,9,6,2747,2707,400,786,425,309
46,943,12,126,142,49,1536,339,559,247,223,230,43,85,28,31,38,6,16,8,6,2747,2709,400,786,425,309
47,943,12,126,142,49,1546,338,560,249,222,222,44,85,26,32,36,6,15,8,6,2747,2711,400,786,425,309
48,943,12,126,142,49,1548,340,560,250,223,223,43,86,25,31,33,5,14,8,6,2747,2714,400,786,425,309
49,1607,48,271,251,86,879,265,395,132,171,223,80,101,34,44,38,7,19,8,8,2747,2709,400,786,425,309
50,1607,48,271,251,86,888,267,398,134,172,214,78,98,32,43,38,7,19,8,8,2747,2709,400,786,425,309
51,1607,48,271,251,86,891,267,398,135,172,212,78,98,31,43,37,7,19,8,8,2747,2710,400,786,425,309
52,1607,48,271,251,86,888,267,396,134,172,215,78,100,32,43,37,7,19,8,8,2747,2710,400,786,425,309
53,1607,48,271,251,86,891,267,398,134,173,212,78,98,32,42,37,7,19,8,8,2747,2710,400,786,425,309
54,1607,48,271,251,86,891,267,398,134,173,212,78,98,32,42,37,7,19,8,8,2747,2710,400,786,425,309
55,1607,48,271,251,86,897,269,400,135,175,209,78,97,32,42,34,5,18,7,6,2747,2713,400,786,425,309
56,1607,48,271,251,86,899,271,402,135,175,210,76,98,32,42,31,5,15,7,6,2747,2716,400,786,425,309
57,1607,48,271,251,86,900,271,403,135,175,212,76,99,33,42,28,5,13,6,6,2747,2719,400,786,425,309
58,1607,48,271,251,86,904,272,404,137,176,211,75,100,32,41,25,5,11,5,6,2747,2722,400,786,425,309
59,1607,48,271,251,86,904,272,404,137,176,212,75,101,32,42,24,5,10,5,5,2747,2723,400,786,425,309
60,1607,48,271,251,86,905,272,404,137,176,212,75,101,32,42,23,5,10,5,5,2747,2724,400,786,425,309
61,1607,48,271,251,86,909,274,405,137,176,209,73,100,32,42,22,5,10,5,5,2747,2725,400,786,425,309
