Distance_km,Joint_Merger,Balanced_Merger,Direct_Acquisition,No_Consolidation,Total_Consolidation,Systems_Analyzed,Systems_Excluded
0,4,0,0,2743,4,2747,0
1,35,332,30,2350,397,2747,0
2,35,619,108,1985,762,2747,0
3,35,829,214,1669,1078,2747,0
4,35,1008,339,1365,1382,2747,0
5,35,1154,425,1133,1614,2747,0
6,202,1124,485,936,1811,2747,0
7,202,1225,512,808,1939,2747,0
8,202,1292,556,697,2050,2747,0
9,229,1326,565,627,2120,2747,0
10,229,1397,592,529,2218,2747,0
11,229,1443,606,469,2278,2747,0
12,229,1507,605,406,2341,2747,0
13,229,1548,617,353,2394,2747,0
14,229,1574,629,315,2432,2747,0
15,229,1616,619,283,2464,2747,0
16,462,1458,573,254,2493,2747,0
17,590,1382,549,226,2521,2747,0
18,590,1423,526,208,2539,2747,0
19,590,1463,511,183,2564,2747,0
20,590,1501,485,171,2576,2747,0
21,590,1529,465,163,2584,2747,0
22,723,1433,441,150,2597,2747,0
23,723,1454,434,136,2611,2747,0
24,723,1522,386,116,2631,2747,0
25,723,1562,354,108,2639,2747,0
26,723,1566,356,102,2645,2747,0
27,723,1574,355,95,2652,2747,0
28,723,1597,336,91,2656,2747,0
29,723,1598,339,87,2660,2747,0
30,723,1619,324,81,2666,2747,0
31,723,1622,329,73,2674,2747,0
32,723,1633,321,70,2677,2747,0
33,723,1646,309,69,2678,2747,0
34,723,1698,265,61,2686,2747,0
35,723,1701,265,58,2689,2747,0
36,922,1491,272,62,2685,2747,0
37,922,1506,259,60,2687,2747,0
38,922,1508,260,57,2690,2747,0
39,922,1522,248,55,2692,2747,0
40,922,1536,240,49,2698,2747,0
41,922,1542,238,45,2702,2747,0
42,922,1541,240,44,2703,2747,0
43,922,1556,225,44,2703,2747,0
44,922,1561,223,41,2706,2747,0
45,943,1544,220,40,2707,2747,0
46,943,1536,230,38,2709,2747,0
47,943,1546,222,36,2711,2747,0
48,943,1548,223,33,2714,2747,0
49,1607,879,223,38,2709,2747,0
50,1607,888,214,38,2709,2747,0
51,1607,891,212,37,2710,2747,0
52,1607,888,215,37,2710,2747,0
53,1607,891,212,37,2710,2747,0
54,1607,891,212,37,2710,2747,0
55,1607,897,209,34,2713,2747,0
56,1607,899,210,31,2716,2747,0
57,1607,900,212,28,2719,2747,0
58,1607,904,211,25,2722,2747,0
59,1607,904,212,24,2723,2747,0
60,1607,905,212,23,2724,2747,0
61,1607,909,209,22,2725,2747,0
62,1607,917,205,18,2729,2747,0
63,1607,922,201,17,2730,2747,0
64,1607,923,201,16,2731,2747,0
65,1607,935,190,15,2732,2747,0
66,1607,935,190,15,2732,2747,0
67,1607,935,190,15,2732,2747,0
68,1607,934,191,15,2732,2747,0
69,1607,937,188,15,2732,2747,0
70,1607,937,188,15,2732,2747,0
71,1607,944,181,15,2732,2747,0
72,1607,944,181,15,2732,2747,0
73,1607,944,181,15,2732,2747,0
74,1607,952,175,13,2734,2747,0
75,1607,965,162,13,2734,2747,0
76,1607,972,156,12,2735,2747,0
77,1607,972,156,12,2735,2747,0
78,1607,972,157,11,2736,2747,0
79,1809,761,167,10,2737,2747,0
80,1809,762,167,9,2738,2747,0
81,1809,762,167,9,2738,2747,0
82,1809,762,167,9,2738,2747,0
83,1809,762,167,9,2738,2747,0
84,1809,762,167,9,2738,2747,0
85,1809,762,167,9,2738,2747,0
86,1809,762,167,9,2738,2747,0
87,1809,765,165,8,2739,2747,0
88,1809,765,165,8,2739,2747,0
89,1809,765,165,8,2739,2747,0
90,1809,767,163,8,2739,2747,0
91,1809,767,163,8,2739,2747,0
92,1809,767,164,7,2740,2747,0
93,1809,768,164,6,2741,2747,0
94,1809,769,164,5,2742,2747,0
95,1809,769,164,5,2742,2747,0
96,1809,769,164,5,2742,2747,0
97,1809,779,154,5,2742,2747,0
98,1809,779,154,5,2742,2747,0
99,1809,779,154,5,2742,2747,0
100,1809,779,154,5,2742,2747,0
101,1809,773,160,5,2742,2747,0
102,1809,773,160,5,2742,2747,0
103,1809,773,160,5,2742,2747,0
104,1809,779,154,5,2742,2747,0
105,1809,779,154,5,2742,2747,0
106,1809,786,148,4,2743,2747,0
107,1809,803,131,4,2743,2747,0
108,1809,803,131,4,2743,2747,0
109,1809,810,124,4,2743,2747,0
110,1809,810,124,4,2743,2747,0
111,1809,815,119,4,2743,2747,0
112,1809,816,119,3,2744,2747,0
113,1809,816,119,3,2744,2747,0
114,1809,816,119,3,2744,2747,0
115,1809,816,119,3,2744,2747,0
