pws.id,longitude,latitude
CA0103040,-122.02730339372611,37.73436359242151
CA0103041,-122.14691572564844,37.715083094570176
CA0104001,-121.97985459465373,37.55712157597563
CA0104010,-122.03070154512857,37.519215672939104
CA0105002,-121.55898669501357,37.81218908341316
CA0105003,-121.82970937940946,37.669542104018994
CA0105008,-121.91303060843815,37.36884829684042
CA0105009,-121.57880886197552,37.78706234224253
CA0105010,-121.71184678623302,37.59229595277535
CA0105012,-121.8207718050618,37.52684046464419
CA0105013,-122.1576995906891,37.807463998389274
CA0105020,-121.88723560690401,37.661659289531954
CA0110001,-122.02098856202,37.53804125396169
CA0110003,-121.75434485186736,37.67553438246081
CA0110005,-122.19203718958289,37.84396618056009
CA0110006,-122.07875563123893,37.64499041500495
CA0110008,-121.88174481302673,37.665019621823824
CA0110009,-121.90027717269399,37.73178130284625
CA0110010,-121.73588671807305,37.63317290485974
CA0110011,-121.7563670279083,37.68766411296055
CA0110012,-121.85954407603178,37.604899231304785
CA0110016,-122.3107138230606,37.784264528044744
CA0202501,-119.80855857779694,38.7664400755681
CA0202502,-119.82245332551645,38.77680337705264
CA0202503,-119.81731313916093,38.7738343391777
CA0202504,-119.79696245698477,38.68936581753926
CA0202506,-120.05112345221394,38.703960535336144
CA0202512,-119.90278366399151,38.77456278340875
CA0202522,-121.08005520844534,39.21212314884419
CA0202549,-120.04410084642605,38.49267106941444
CA0202550,-119.8167795327817,38.76921740386636
CA0210001,-120.0424078806262,38.46644090802339
CA0210002,-120.07198405176423,38.692588366882774
CA0210003,-120.04132660466534,38.70702285286264
CA0300007,-120.12790168574764,38.64008869708079
CA0300010,-120.8629566861934,38.43918923131058
CA0300011,-120.74966869696696,38.36014523104841
CA0300016,-120.63013014933541,38.44342918414998
CA0300019,-120.76109838317966,38.50399462936748
CA0300024,-120.6468497244661,38.40707564269122
CA0300025,-120.3763178407101,38.544499257223464
CA0300028,-120.79248662143517,38.54166622081946
CA0300032,-120.12084568365256,38.67215995326085
CA0300033,-120.24352683475922,38.53388489558369
CA0300034,-120.23073260304433,38.53415181322279
CA0300036,-120.25632898470793,38.55022351225051
CA0300037,-120.89168108544901,38.30289915407479
CA0300043,-120.52364142413776,38.47829012005915
CA0300046,-120.52617267932234,38.47571970906247
CA0300048,-120.5130875097142,38.492094718525635
CA0300049,-120.65700693509233,38.41068070784727
CA0300051,-120.11606591316081,38.669704441504045
CA0300052,-120.4331994126417,38.52608436751784
CA0300053,-120.859028274791,38.481075288443606
